,Unnamed: 0,id,genero,casado,edad,graduado,profesion,exp_laboral,nivel_gasto,tamanno_familia,anno_nacimiento,generacion,ingresos_anuales,provincia,encuentro_digital,gasto_medio_mensual_cuota,abandono,dias_como_cliente,camp_anno,Cluster,PCA1,PCA2
0,0,CLI2,1,0,24,0,3,0,0,4,2000,2,13945,28,1.029,30,0,278,0.0,1,-42173.739981984356,-5361.323641874955
1,1,CLI3,0,1,42,1,4,2,1,3,1982,3,118107,35,1.79,30,0,455,3.0,2,61988.22012195934,-5462.002887497284
2,2,CLI4,0,1,74,1,4,2,0,1,1950,1,53533,6,1.326,50,0,380,1.0,3,-2585.716292825098,-5397.959760040362
3,3,CLI5,1,1,74,1,8,2,2,2,1950,1,82273,14,0.779,50,1,387,3.0,0,26154.265967320433,-5425.023660340763
4,4,CLI6,0,1,44,1,7,2,2,6,1980,1,90776,49,1.767,30,1,299,0.0,4,34657.22505640586,-5432.346910267142
5,5,CLI7,1,1,62,0,0,2,1,2,1962,1,54280,32,1.15,30,0,278,0.0,3,-1838.741757394062,-5395.712362208802
6,6,CLI8,1,0,35,1,3,1,0,3,1989,3,20885,2,0.916,30,0,234,0.0,1,-35233.73781681181,-5362.110873092005
7,7,CLI9,0,0,36,1,3,1,0,3,1988,3,27840,21,1.56,30,0,540,1.0,5,-28278.706446525117,-5367.835947395901
8,8,CLI10,0,1,67,1,4,2,0,3,1957,1,93442,37,1.385,80,1,195,0.0,4,37323.25254586659,-5430.969432299168
9,9,CLI11,0,1,61,1,0,2,1,4,1963,1,96524,9,1.385,80,0,483,3.0,4,40405.28072610166,-5432.917033575664
10,10,CLI12,0,0,29,1,4,0,0,3,1995,3,20504,11,2.72,30,0,446,3.0,1,-35614.71298746738,-5357.692610428844
11,11,CLI13,1,0,21,0,3,0,0,4,2003,2,20827,46,2.202,30,1,319,0.5,1,-35291.73091545096,-5357.034917385394
12,12,CLI14,0,0,21,0,2,0,0,1,2003,2,13798,27,1.374,30,0,96,0.0,1,-42320.75033427312,-5349.219571498819
13,13,CLI15,1,1,77,0,8,2,0,1,1947,1,45283,39,1.228,30,0,437,3.0,3,-10835.70175818316,-5378.892021301503
14,14,CLI16,0,1,64,0,5,2,0,1,1960,1,124152,11,0.779,120,0,375,3.0,2,68033.27599738119,-5454.917001094021
15,15,CLI17,0,0,45,0,3,2,0,2,1979,1,46553,14,0.801,30,0,409,3.0,3,-9565.721197019957,-5378.138425844125
16,16,CLI18,0,0,35,0,1,1,0,5,1989,3,30513,47,1.767,30,0,328,0.5,5,-25605.72398609978,-5361.491773789098
17,17,CLI19,1,0,34,0,3,1,0,6,1990,3,31841,20,1.606,30,1,223,0.0,5,-24277.736327450468,-5361.811850542463
18,18,CLI20,1,1,64,1,7,2,1,4,1960,1,67505,2,0.72,80,0,118,0.0,0,11386.26957483936,-5395.658389257883
19,19,CLI21,0,1,87,1,0,2,2,1,1937,0,114299,25,0.759,50,0,156,0.0,2,58180.240866869965,-5440.348151909306
20,20,CLI22,1,1,54,1,1,2,0,1,1970,1,123974,10,0.622,50,0,51,0.0,2,67855.20547245957,-5448.818848015772
21,21,CLI23,0,0,20,0,3,0,0,4,2004,2,21211,42,2.651,30,0,216,0.0,1,-34907.733594649864,-5347.432321831788
22,22,CLI24,1,1,36,1,0,1,0,2,1988,3,24060,24,0.916,30,0,355,0.5,1,-32058.710112432305,-5349.184742933769
23,23,CLI25,0,0,40,1,0,1,0,2,1984,3,32294,0,1.077,30,1,135,0.0,5,-23824.737413207284,-5356.2736998926475
24,24,CLI26,0,1,64,0,2,2,1,3,1960,1,62196,45,0.876,30,0,223,0.0,3,6077.266282326193,-5384.454339092995
25,25,CLI27,1,1,62,0,0,2,1,3,1962,1,126060,11,1.737,200,1,295,0.0,2,69941.31473264082,-5445.791359244068
26,26,CLI28,1,0,34,0,3,1,0,8,1990,3,18106,18,1.974,30,0,490,3.0,1,-38012.68807172043,-5339.341278342971
27,27,CLI29,1,1,54,1,0,2,1,3,1970,1,32830,49,0.72,30,0,190,0.0,5,-23288.720012575337,-5352.784475539431
28,28,CLI30,1,0,39,1,0,1,0,1,1985,3,29902,16,1.008,30,0,38,0.0,5,-26216.742404957506,-5348.958598094586
29,29,CLI31,0,0,39,0,0,1,0,4,1985,3,28830,15,1.146,30,1,373,3.0,5,-27288.702878401386,-5346.839086343882
30,30,CLI32,0,1,50,1,0,2,0,3,1974,1,109666,23,1.17,80,0,416,3.0,2,53547.27877488444,-5424.764833184368
31,31,CLI33,0,1,46,0,5,2,0,2,1978,1,58123,1,0.72,30,0,421,3.0,3,2004.2884768720032,-5373.434547469658
32,32,CLI34,1,0,21,0,3,0,0,3,2003,2,16852,21,1.512,30,1,168,0.0,1,-39266.72475982979,-5332.186398510841
33,33,CLI35,1,0,29,0,1,0,0,1,1995,3,28710,48,2.823,30,0,219,0.0,5,-27408.72172582652,-5342.754668919507
34,34,CLI36,0,1,91,0,8,2,2,2,1933,0,82612,25,1.091,120,0,337,0.5,0,26493.334082920206,-5394.360099857548
35,35,CLI37,0,0,30,1,3,0,0,4,1994,3,21099,3,1.261,30,0,152,0.0,1,-35019.721648774066,-5333.337599289584
36,36,CLI38,1,0,35,0,5,1,0,1,1989,3,21460,47,1.537,30,0,240,0.0,1,-34658.70823719121,-5332.670323276459
37,37,CLI39,0,1,31,0,3,0,1,5,1993,3,23394,1,1.054,30,0,325,0.5,1,-32724.701160824105,-5333.541248791371
38,38,CLI40,0,1,31,1,0,0,0,2,1993,3,22565,38,0.87,30,0,520,4.0,1,-33553.67756421779,-5331.68874261317
39,39,CLI41,1,1,62,1,0,2,1,2,1962,1,49475,6,1.6,50,0,493,3.0,3,-6643.67115050846,-5356.972375324096
40,40,CLI42,0,0,52,1,0,2,0,1,1972,1,63940,35,0.798,50,0,33,0.0,3,7821.262606638855,-5370.197147654147
41,41,CLI43,0,0,24,0,3,0,0,2,2000,2,17510,41,2.996,30,1,337,0.5,1,-38608.69569699734,-5323.791978691096
42,42,CLI44,0,0,30,1,0,0,0,3,1994,3,22608,14,1.261,30,0,40,0.0,1,-33510.72847704383,-5327.835298635073
43,43,CLI45,0,1,54,1,0,2,0,2,1970,1,53294,42,0.896,50,1,389,3.0,3,-2824.6859356521454,-5356.723630698553
44,44,CLI46,1,1,44,0,4,2,0,1,1980,1,25196,7,1.629,30,1,265,0.0,1,-30922.695194345175,-5328.313990202109
45,45,CLI47,0,1,87,0,8,2,2,2,1937,0,48021,47,1.385,30,0,223,0.0,3,-8097.691101526165,-5349.612178525774
46,46,CLI48,1,1,45,1,0,2,1,4,1979,1,64917,16,1.698,30,1,187,0.0,0,8798.27153514052,-5365.119631831675
47,47,CLI49,0,0,32,1,3,1,0,1,1992,3,22818,42,0.801,30,1,305,0.5,1,-33300.69268746028,-5322.982408579484
48,48,CLI50,1,0,21,0,3,0,0,4,2003,2,19656,0,2.306,30,0,249,0.0,1,-36462.701896523584,-5318.907393195188
49,49,CLI51,0,0,50,1,4,2,0,1,1974,1,26612,23,1.17,30,0,395,3.0,5,-29506.67333024257,-5324.668331568858
50,50,CLI52,0,1,67,0,0,2,1,2,1957,1,107377,1,1.561,120,1,152,0.0,4,51258.298975010126,-5402.584269450002
51,51,CLI53,0,1,40,1,0,1,1,2,1984,3,83364,49,1.56,50,0,337,0.5,0,27245.287959341134,-5378.099021254209
52,52,CLI54,1,1,44,1,0,2,0,1,1980,1,59461,49,1.79,50,1,330,0.5,3,3342.306577064737,-5353.758508248405
53,53,CLI55,0,1,63,1,7,2,1,2,1961,1,90571,22,0.974,50,0,128,0.0,4,34452.27392169587,-5383.18291952925
54,54,CLI56,1,1,84,0,6,2,0,1,1940,0,87489,42,1.385,120,0,550,4.0,4,31370.370566365556,-5379.07607940554
55,55,CLI57,1,1,35,1,0,1,1,2,1989,3,19307,46,1.514,30,0,462,3.0,1,-36811.66311967213,-5311.519694959354
56,56,CLI58,1,0,28,1,3,0,0,4,1996,3,27496,18,2.237,30,0,401,3.0,5,-28622.67844371686,-5318.530185572644
57,57,CLI59,1,0,35,1,5,1,0,2,1989,3,20048,27,0.916,30,0,186,0.0,1,-36070.692873585416,-5310.303528564906
58,58,CLI60,0,1,50,1,0,2,1,3,1974,1,73150,37,0.74,80,0,523,4.0,0,17031.342986980133,-5361.082316080803
59,59,CLI61,1,1,79,1,8,2,0,1,1945,0,77468,37,1.58,50,0,579,1.0,0,21349.348325118073,-5364.28944156904
60,60,CLI62,1,1,53,1,0,2,1,2,1971,1,22901,6,0.72,30,0,65,0.0,1,-33217.69570766219,-5310.116345215144
61,61,CLI63,1,1,61,1,0,2,1,2,1963,1,56381,6,0.583,50,0,296,0.0,3,262.32285295511247,-5341.759059352905
62,62,CLI64,1,1,81,1,8,2,2,3,1943,0,31295,34,0.818,30,1,170,0.0,5,-24823.672399302333,-5316.2903668969975
63,63,CLI65,1,1,62,1,8,2,2,2,1962,1,102447,16,1.404,50,0,571,1.0,4,46328.32514276616,-5384.684200017281
64,64,CLI66,1,1,65,1,8,2,2,2,1959,1,76260,3,1.502,50,0,215,0.0,0,20141.30529021492,-5358.1892331082
65,65,CLI67,1,0,28,1,7,0,0,2,1996,3,25833,45,2.168,30,0,372,3.0,1,-30285.671803087513,-5307.912047096168
66,66,CLI68,1,1,34,1,5,1,1,2,1990,3,26168,38,0.939,30,0,594,4.0,1,-29950.64267284829,-5307.191181297134
67,67,CLI69,1,0,30,0,0,0,0,4,1994,3,27182,16,1.583,30,0,186,0.0,5,-28936.690684374258,-5307.270262208625
68,68,CLI70,1,1,63,1,0,2,1,4,1961,1,42360,18,1.033,30,0,35,0.0,5,-13758.699077484438,-5321.125101728585
69,69,CLI71,0,1,43,1,1,2,2,2,1981,3,86946,35,0.824,50,0,198,0.0,4,30827.289051190004,-5363.627397541889
70,70,CLI72,1,1,30,1,3,0,0,2,1994,3,21017,1,1.813,30,0,451,3.0,1,-35101.65361630417,-5298.192689928628
71,71,CLI73,0,1,56,1,7,2,1,2,1968,1,125882,25,0.661,50,1,327,0.5,2,69763.28622792516,-5399.621981979519
72,72,CLI74,0,1,52,0,0,2,1,5,1972,1,47137,6,0.837,30,0,372,3.0,3,-8981.666317239782,-5321.716980618828
73,73,CLI75,0,0,36,0,3,1,0,4,1988,3,22495,11,2.02,30,0,215,0.0,1,-33623.67510841032,-5296.6871084807235
74,74,CLI76,1,1,62,1,0,2,1,4,1962,1,59420,41,1.326,80,0,223,0.0,3,3301.340534865747,-5331.739674069628
75,75,CLI77,0,0,36,0,1,1,0,3,1988,3,24846,21,0.732,30,0,145,0.0,1,-31272.682639528437,-5296.997946963923
76,76,CLI78,0,0,40,1,5,1,0,2,1984,3,103438,39,1.721,50,1,249,0.0,4,47319.28878247521,-5372.72122720243
77,77,CLI79,1,1,56,0,0,2,0,3,1968,1,28702,15,1.17,30,1,391,3.0,5,-27416.644601763383,-5298.710357122878
78,78,CLI80,1,1,50,1,4,2,1,2,1974,1,72025,1,0.622,50,0,47,0.0,0,15906.294719194848,-5340.089966056763
79,79,CLI81,0,0,54,1,8,2,0,1,1970,1,40072,8,1.248,50,0,311,0.5,5,-16046.650643599336,-5307.829452405558
