,id,genero,casado,edad,graduado,profesion,exp_laboral,nivel_gasto,tamanno_familia,anno_nacimiento,generacion,ingresos_anuales,provincia,encuentro_digital,gasto_medio_mensual_cuota,abandono,dias_como_cliente,camp_anno
0,CLI2,1,0,24,0,3,0,0,4,2000,2,13945,28,1.029,30,0,278,0.0
1,CLI3,0,1,42,1,4,2,1,3,1982,3,118107,35,1.79,30,0,455,3.0
2,CLI4,0,1,74,1,4,2,0,1,1950,1,53533,6,1.326,50,0,380,1.0
3,CLI5,1,1,74,1,8,2,2,2,1950,1,82273,14,0.779,50,1,387,3.0
4,CLI6,0,1,44,1,7,2,2,6,1980,1,90776,49,1.767,30,1,299,0.0
5,CLI7,1,1,62,0,0,2,1,2,1962,1,54280,32,1.15,30,0,278,0.0
6,CLI8,1,0,35,1,3,1,0,3,1989,3,20885,2,0.916,30,0,234,0.0
7,CLI9,0,0,36,1,3,1,0,3,1988,3,27840,21,1.56,30,0,540,1.0
8,CLI10,0,1,67,1,4,2,0,3,1957,1,93442,37,1.385,80,1,195,0.0
9,CLI11,0,1,61,1,0,2,1,4,1963,1,96524,9,1.385,80,0,483,3.0
10,CLI12,0,0,29,1,4,0,0,3,1995,3,20504,11,2.72,30,0,446,3.0
11,CLI13,1,0,21,0,3,0,0,4,2003,2,20827,46,2.202,30,1,319,0.5
12,CLI14,0,0,21,0,2,0,0,1,2003,2,13798,27,1.374,30,0,96,0.0
13,CLI15,1,1,77,0,8,2,0,1,1947,1,45283,39,1.228,30,0,437,3.0
14,CLI16,0,1,64,0,5,2,0,1,1960,1,124152,11,0.779,120,0,375,3.0
15,CLI17,0,0,45,0,3,2,0,2,1979,1,46553,14,0.801,30,0,409,3.0
16,CLI18,0,0,35,0,1,1,0,5,1989,3,30513,47,1.767,30,0,328,0.5
17,CLI19,1,0,34,0,3,1,0,6,1990,3,31841,20,1.606,30,1,223,0.0
18,CLI20,1,1,64,1,7,2,1,4,1960,1,67505,2,0.72,80,0,118,0.0
19,CLI21,0,1,87,1,0,2,2,1,1937,0,114299,25,0.759,50,0,156,0.0
20,CLI22,1,1,54,1,1,2,0,1,1970,1,123974,10,0.622,50,0,51,0.0
21,CLI23,0,0,20,0,3,0,0,4,2004,2,21211,42,2.651,30,0,216,0.0
22,CLI24,1,1,36,1,0,1,0,2,1988,3,24060,24,0.916,30,0,355,0.5
23,CLI25,0,0,40,1,0,1,0,2,1984,3,32294,0,1.077,30,1,135,0.0
24,CLI26,0,1,64,0,2,2,1,3,1960,1,62196,45,0.876,30,0,223,0.0
25,CLI27,1,1,62,0,0,2,1,3,1962,1,126060,11,1.737,200,1,295,0.0
26,CLI28,1,0,34,0,3,1,0,8,1990,3,18106,18,1.974,30,0,490,3.0
27,CLI29,1,1,54,1,0,2,1,3,1970,1,32830,49,0.72,30,0,190,0.0
28,CLI30,1,0,39,1,0,1,0,1,1985,3,29902,16,1.008,30,0,38,0.0
29,CLI31,0,0,39,0,0,1,0,4,1985,3,28830,15,1.146,30,1,373,3.0
30,CLI32,0,1,50,1,0,2,0,3,1974,1,109666,23,1.17,80,0,416,3.0
31,CLI33,0,1,46,0,5,2,0,2,1978,1,58123,1,0.72,30,0,421,3.0
32,CLI34,1,0,21,0,3,0,0,3,2003,2,16852,21,1.512,30,1,168,0.0
