ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,ingresos_anuales_brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno
CLI2,1,0,-1.2978185786252723,0,3,<10annos,Bajo,4,2000,2,-1.1893035481066017,Malaga,1.029,-0.5330863202314747,0,-0.1344170518150403,3.0
CLI3,0,1,-0.3212161734812615,1,4,+20annos,Medio,3,1982,3,1.7484420006765256,Salamanca,1.79,-0.5330863202314747,0,1.054799681577463,3.0
CLI4,0,1,1.4149658801080909,1,4,+20annos,Bajo,1,1950,1,-0.07277860825112226,Burgos,1.326,0.16444116979956172,0,0.5508942860721651,1.0
CLI5,1,1,1.4149658801080909,1,8,+20annos,Alto,2,1950,1,0.7377934532686938,Gerona,0.779,0.16444116979956172,1,0.5979254563193261,3.0
CLI6,0,1,-0.21270479513192697,1,7,+20annos,Alto,6,1980,1,0.9776088408505655,ivila,1.767,-0.5330863202314747,1,0.006676458926443162,3.0
CLI7,1,1,0.7638976100120838,0,0,+20annos,Medio,2,1962,1,-0.051710503520596765,Orense,1.15,-0.5330863202314747,0,-0.1344170518150403,3.0
CLI8,1,0,-0.7010059977039323,1,3,10-20annos,Bajo,3,1989,3,-0.9935704198203273,Almeri­a,0.916,-0.5330863202314747,0,-0.4300415505114818,3.0
CLI9,0,0,-0.6467503085292651,1,3,10-20annos,Bajo,3,1988,3,-0.7974142372221951,LLeida,1.56,-0.5330863202314747,0,1.6258924631501341,1.0
CLI10,0,1,1.0351760558854202,1,4,+20annos,Bajo,3,1957,1,1.052799693878117,Segovia,1.385,1.2107324048461163,1,-0.6920723561742368,3.0
CLI11,0,1,0.7096419208374165,1,0,+20annos,Medio,4,1963,1,1.1397232531545287,Castellon,1.385,1.2107324048461163,0,1.2429243625661077,3.0
CLI12,0,0,-1.026540132751936,1,4,<10annos,Bajo,3,1995,3,-1.004315999341519,Ciudad Real,2.72,-0.5330863202314747,0,0.9943310341168273,3.0
CLI13,1,0,-1.460585646149274,0,3,<10annos,Bajo,4,2003,2,-0.995206229826178,Zamora,2.202,-0.5330863202314747,1,0.1410512310611893,0.5
CLI14,0,0,-1.460585646149274,0,2,<10annos,Bajo,1,2003,2,-1.1934494803628095,Madrid,1.374,-0.5330863202314747,0,-1.3572274782412301,3.0
CLI15,1,1,1.5777329476320927,0,8,+20annos,Bajo,1,1947,1,-0.3054584797729901,Soria,1.228,-0.5330863202314747,0,0.9338623866561915,3.0
